ten sach,ten tac gia,gia sach,so luong da ban,so luong binh luan,danh gia trung binh,anh sach
Lập Trình Trong Kỹ Thuật Với Ngôn Ngữ C++,N/A,216000,30,4,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/d2/44/d9/2f98c138f557e0f06974e79c1c77a122.jpg
Lập Trình Game Với Python - STK,N/A,148000,9,1,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/14/93/fe/defd715725408e3089fd297b9617fd77.jpg
Combo 2Q: Tớ Học Lập Trình - Làm Quen Với Python + Clean code – Mã sạch và con đường trở thành lập trình viên giỏi,N/A,452500,66,14,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/0c/74/4c/724bc959159f76d156bfcbaf1c176b8e.jpg
Chat GPT là gì ... Phép lạ nào khiến nó hoạt động?,N/A,236550,44,3,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/b3/17/f5/8eaff145c67747f514be6cab087f827f.jpg
Lý thuyết  đồ thị và ứng dụng cài đặt bởi ngôn ngữ mạnh PYTHON,N/A,153000,33,4,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/40/d2/be/7bbce2e051b256436a41407ac94defe9.jpg
Hướng Dẫn Lập Trình C# (Bài Tập Thực Hành),NHIEU TAC GIA,153000,12,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/0e/0f/43/11f6210106b3afb653cc68a61a533008.jpg
"Sách - Combo Lập Trình: Kiến Thức Lập Trình từ A-Z, Thực Hành 3 Ngôn Ngữ Lập Trình Và Sổ Tay ""Dân IT"" Lập Trình Web",N/A,447000,5,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/a6/d0/c1/1bb4cca50369db9649fdac6523e55872.png
"Sách - Sổ Tay ""Dân IT"" Lập Trình Web + Lập Trình Ứng Dụng Từ Cơ Bản Đến Chuyên Sâu",N/A,149000,9,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/d3/c1/17/579195a63bf2f52ef3f83e3b4909963f.png
Combo 2Q: Giáo Trình Kỹ Thuật Lập Trình C Căn Bản Và Nâng Cao + Clean Code - Mã Sạch Và Con Đường Trở Thành Lập Trình Viên Giỏi (Tặng Móc Khóa),N/A,510500,19,4,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/f7/ca/c8/ffa262be9c8f560b2d68394f38fb1b1d.jpg
Lập Trình Trong Kỹ Thuật Với Ngôn Ngữ C++ (Tái bản và bổ sung chỉnh sửa),"PHÙNG THỊ THU HIỀN, ĐẶNG THỊ HIÊN, NGUYỄN TUẤN LINH, NGHIÊM VĂN TÍNH, TRẦN THỊ THANH, ĐINH QUANG NINH",226000,1,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/6a/7d/1c/5f75283b681fa45641a4d5bdb2ff8e01.jpg
Lập Trình Với C#,.,100000,90,15,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/ef/bd/f6/2752f967bcf7283d9b36c4b8718c7bfe.jpg
